"Company";"TypeName";"Inches";"Screen_size";"ScreenResolution_Width";"ScreenResolution_Length";"PPI";"Has_Touch_Screen";"Has_IPS_Panel";"Cpu_Brand";"CPU_Model";"Processing_speed";"Ram";"memory_type";"primary_memory";"secondary_memory";"weight";"price";"Intel";"AMD";"Nvidia";"macOS";"Windows";"Linux";"Android"
"Apple";"Ultrabook";13.3;"Small";1600;2560;227;0;1;"Intel";"Core i5";2.3;8;"SSD";128;0;1.4;71378;1;0;0;1;0;0;0
"Apple";"Ultrabook";13.3;"Small";900;1440;128;0;0;"Intel";"Core i5";1.8;8;"Flash Storage";128;0;1.3;47895;1;0;0;1;0;0;0
"HP";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;1.9;30636;1;0;0;0;0;0;0
"Apple";"Ultrabook";15.4;"Moderate";1800;2880;221;0;1;"Intel";"Core i7";2.7;16;"SSD";512;0;1.8;135195;0;1;0;1;0;0;0
"Apple";"Ultrabook";13.3;"Small";1600;2560;227;0;1;"Intel";"Core i5";3.1;8;"SSD";256;0;1.4;96095;1;0;0;1;0;0;0
"Acer";"Notebook";15.6;"Moderate";768;1366;100;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;2.1;21312;0;1;0;0;1;0;0
"Apple";"Ultrabook";15.4;"Moderate";1800;2880;221;0;1;"Intel";"Core i7";2.2;16;"Flash Storage";256;0;2.0;114017;1;0;0;1;0;0;0
"Apple";"Ultrabook";13.3;"Small";900;1440;128;0;0;"Intel";"Core i5";1.8;8;"Flash Storage";256;0;1.3;61735;1;0;0;1;0;0;0
"Asus";"Ultrabook";14.0;"Small";1080;1920;157;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;1.3;79653;0;0;1;0;1;0;0
"Acer";"Ultrabook";14.0;"Small";1080;1920;157;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;1.6;41025;1;0;0;0;1;0;0
"HP";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i5";2.5;4;"HDD";500;0;1.9;20986;1;0;0;0;0;0;0
"HP";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;1.9;18381;1;0;0;0;0;0;0
